,territory_name,epiweek,situation_name,value,epiyear
0,Acre,1.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
1,Alagoas,1.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
2,Amapá,1.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
3,Amazonas,1.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
4,Bahia,1.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
5,Brasil,1.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
6,Ceará,1.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
7,Distrito Federal,1.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
8,Espírito Santo,1.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
9,Goiás,1.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
10,Maranhão,1.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
11,Mato Grosso,1.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
12,Mato Grosso do Sul,1.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
13,Minas Gerais,1.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
14,Paraná,1.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
15,Paraíba,1.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
16,Pará,1.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
17,Pernambuco,1.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
18,Piauí,1.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
19,Rio Grande do Norte,1.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
20,Rio Grande do Sul,1.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
21,Rio de Janeiro,1.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
22,Rondônia,1.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
23,Roraima,1.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
24,Santa Catarina,1.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
25,Sergipe,1.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
26,São Paulo,1.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
27,Tocantins,1.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
0,Acre,2.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
1,Alagoas,2.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
2,Amapá,2.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
3,Amazonas,2.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
4,Bahia,2.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
5,Brasil,2.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
6,Ceará,2.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
7,Distrito Federal,2.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
8,Espírito Santo,2.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
9,Goiás,2.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
10,Maranhão,2.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
11,Mato Grosso,2.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
12,Mato Grosso do Sul,2.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
13,Minas Gerais,2.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
14,Paraná,2.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
15,Paraíba,2.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
16,Pará,2.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
17,Pernambuco,2.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
18,Piauí,2.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
19,Rio Grande do Norte,2.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
20,Rio Grande do Sul,2.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
21,Rio de Janeiro,2.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
22,Rondônia,2.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
23,Roraima,2.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
24,Santa Catarina,2.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
25,Sergipe,2.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
26,São Paulo,2.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
27,Tocantins,2.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
0,Acre,3.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
1,Alagoas,3.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
2,Amapá,3.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
3,Amazonas,3.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
4,Bahia,3.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
5,Brasil,3.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
6,Ceará,3.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
7,Distrito Federal,3.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
8,Espírito Santo,3.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
9,Goiás,3.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
10,Maranhão,3.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
11,Mato Grosso,3.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
12,Mato Grosso do Sul,3.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
13,Minas Gerais,3.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
14,Paraná,3.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
15,Paraíba,3.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
16,Pará,3.0,Dado estável. Sujeito a pequenas alterações.,0.00,2009
